id;name;type;ra_deg;dec_deg;mag;majax;minax;const;common
C1;NGC0188;Amas ouvert;11.8647;85.2696;8.1;17.7;17.7;Cep;
C2;NGC0040;Nebuleuse;3.2543;72.5219;11.89;0.8;0.8;Cep;Bow-Tie nebula
C3;NGC4236;Galaxie;184.1755;69.4626;9.77;23.5;6.85;Dra;
C4;NGC7023;Nebuleuse;315.3984;68.1696;7.2;10;8;Cep;Iris Nebula
C5;IC0342;Galaxie;56.7021;68.0964;9.68;19.77;18.79;Cam;
C6;NGC6543;Nebuleuse;269.6391;66.6332;9.01;0.9;0.9;Dra;Cat's Eye Nebula
C7;NGC2403;Galaxie;114.2142;65.6026;8.43;19.95;10.07;Cam;
C8;NGC0559;Amas ouvert;22.3882;63.3014;9.5;9;9;Cas;
C9;Sh2-155;Nebuleuse;344.2;62.6167;7.7;50;30;Cep;Cave Nebula
C10;NGC0663;Amas ouvert;26.5669;61.2182;7.1;6;6;Cas;
C11;NGC7635;Nebuleuse;350.19;61.2124;11;15;8;Cas;Bubble Nebula
C12;NGC6946;Galaxie;308.718;60.1539;9.05;11.4;10.84;Cyg;Fireworks Galaxy
C13;NGC0457;Amas ouvert;19.886;58.2907;6.4;7.8;7.8;Cas;Owl Cluster
C14;NGC0869;Amas ouvert;34.744;57.1172;3.7;14.4;14.4;Per;Double Cluster
C15;NGC6826;Nebuleuse;296.2005;50.525;9.44;0.42;0.42;Cyg;Blinking Planetary
C16;NGC7243;Amas ouvert;333.7858;49.8975;6.4;15;15;Lac;
C17;NGC0147;Galaxie;8.3005;48.5087;9.72;9.4;5.41;Cas;
C18;NGC0185;Galaxie;9.7415;48.3374;9.2;12.94;10.76;Cas;
C19;IC5146;Amas ouvert;328.3698;47.2669;7.2;10;10;Cyg;Cocoon Nebula
C20;NGC7000;Nebuleuse;314.8214;44.5288;4;120;30;Cyg;North America Nebula
C21;NGC4449;Galaxie;187.0462;44.0936;9.64;4.66;2.71;CVn;
C22;NGC7662;Nebuleuse;351.4746;42.5349;8.3;0.28;0.28;And;Copeland's Blue Snowball
C23;NGC0891;Galaxie;35.6392;42.3491;10.01;13.03;3.03;And;
C24;NGC1275;Galaxie;49.9507;41.5117;12.24;2.16;1.45;Per;Perseus A
C25;NGC2419;Amas globulaire;114.5331;38.88;10.05;4.5;4.5;Lyn;
C26;NGC4244;Galaxie;184.3736;37.8071;10.18;16.22;7.24;CVn;
C27;NGC6888;Nebuleuse;303.0273;38.3549;7.44;20;10;Cyg;Crescent Nebula
C28;NGC0752;Amas ouvert;29.3951;37.8334;5.7;39;39;And;
