abbr;name_fr;segments
UMa;Grande Ourse;eta_UMa>zet_UMa,zet_UMa>eps_UMa,eps_UMa>del_UMa,del_UMa>gam_UMa,gam_UMa>bet_UMa,bet_UMa>alp_UMa,alp_UMa>del_UMa
UMi;Petite Ourse;alp_UMi>del_UMi,del_UMi>eps_UMi,eps_UMi>zet_UMi,zet_UMi>bet_UMi,bet_UMi>gam_UMi,gam_UMi>eta_UMi,eta_UMi>zet_UMi
Cas;Cassiopee;bet_Cas>alp_Cas,alp_Cas>gam_Cas,gam_Cas>del_Cas,del_Cas>eps_Cas
Cep;Cephee;alp_Cep>bet_Cep,bet_Cep>gam_Cep,gam_Cep>iot_Cep,iot_Cep>zet_Cep,zet_Cep>alp_Cep,alp_Cep>eta_Cep
Dra;Dragon;gam_Dra>bet_Dra,bet_Dra>xi__Dra,xi__Dra>gam_Dra,xi__Dra>del_Dra,del_Dra>eps_Dra,eps_Dra>chi_Dra,zet_Dra>eta_Dra,eta_Dra>the_Dra_x
Cyg;Cygne;alp_Cyg>gam_Cyg,gam_Cyg>bet_Cyg,del_Cyg>gam_Cyg,gam_Cyg>eps_Cyg
Lyr;Lyre;alp_Lyr>zet_Lyr,zet_Lyr>del_Lyr,del_Lyr>gam_Lyr,gam_Lyr>bet_Lyr,bet_Lyr>zet_Lyr
Aql;Aigle;gam_Aql>alp_Aql,alp_Aql>bet_Aql,gam_Aql>del_Aql,del_Aql>lam_Aql,zet_Aql>eps_Aql,zet_Aql>del_Aql,bet_Aql>the_Aql,the_Aql>eta_Aql
Boo;Bouvier;alp_Boo>eta_Boo,alp_Boo>eps_Boo,eps_Boo>del_Boo,del_Boo>bet_Boo,bet_Boo>gam_Boo,gam_Boo>rho_Boo,rho_Boo>alp_Boo,alp_Boo>zet_Boo
CrB;Couronne boreale;the_CrB>bet_CrB,bet_CrB>alp_CrB,alp_CrB>gam_CrB,gam_CrB>del_CrB,del_CrB>eps_CrB,eps_CrB>iot_CrB
