id;name;type;ra_deg;dec_deg;mag;majax;minax;const;common
M1;NGC1952;Nebuleuse;83.6332;22.0145;8.4;8;4;Tau;Crab Nebula
M2;NGC7089;Amas globulaire;323.3625;-0.8233;6.25;8.4;8.4;Aqr;
M3;NGC5272;Amas globulaire;205.5468;28.3754;6.39;16.2;16.2;CVn;
M4;NGC6121;Amas globulaire;245.8975;-26.5255;5.4;28.2;28.2;Sco;
M5;NGC5904;Amas globulaire;229.6406;2.0827;5.95;15;15;Se1;
M6;NGC6405;Amas ouvert;265.0865;-32.2542;4.2;15.6;15.6;Sco;Butterfly Cluster
M7;NGC6475;Amas ouvert;268.4632;-34.7928;3.3;22.2;22.2;Sco;Ptolemy's Cluster
M8;NGC6523;Nebuleuse;270.922;-24.3802;5.8;45;30;Sgr;Lagoon Nebula
M9;NGC6333;Amas globulaire;259.7991;-18.5162;8.42;6.9;6.9;Oph;
M10;NGC6254;Amas globulaire;254.2875;-4.0993;4.98;9.3;9.3;Oph;
M11;NGC6705;Amas ouvert;282.775;-6.27;5.8;9;9;Sct;Amas de l'Ecu de Sobieski
M12;NGC6218;Amas globulaire;251.8105;-1.9478;6.07;11.1;11.1;Oph;
M13;NGC6205;Amas globulaire;250.4235;36.4613;5.8;16.5;16.5;Her;Hercules Globular Cluster
M14;NGC6402;Amas globulaire;264.4007;-3.2459;5.73;;;Oph;
M15;NGC7078;Amas globulaire;322.4932;12.1668;6.3;11.1;11.1;Peg;
M16;NGC6611;Nebuleuse;274.7007;-13.8072;6;120;25;Se2;Eagle Nebula
M17;NGC6618;Nebuleuse;275.1963;-16.1715;7;12.6;12.6;Sgr;Checkmark Nebula
M18;NGC6613;Amas ouvert;274.9937;-17.102;6.9;6;6;Sgr;
M19;NGC6273;Amas globulaire;255.657;-26.2679;5.57;7.5;7.5;Oph;
M20;NGC6514;Nebuleuse;270.6755;-22.9719;8.5;28;28;Sgr;Trifid Nebula
M21;NGC6531;Amas ouvert;271.056;-22.4901;5.9;6;6;Sgr;
M22;NGC6656;Amas globulaire;279.1008;-23.9034;6.17;12.6;12.6;Sgr;
