id;name;type;ra_deg;dec_deg;mag;majax;minax;const;common
IC0001;IC0001;Autre;2.1127;27.7177;;;;Peg;
IC0002;IC0002;Galaxie;2.7537;-12.8229;15.46;0.98;0.32;Cet;
IC0003;IC0003;Galaxie;3.0254;-0.4152;14.78;0.93;0.67;Psc;
IC0004;IC0004;Galaxie;3.3623;17.4864;14.14;1.17;0.84;Peg;
IC0005;IC0005;Galaxie;4.3955;-9.5434;14.57;0.99;0.66;Cet;
IC0006;IC0006;Galaxie;4.7293;-3.2761;14.57;1.23;1.08;Psc;
IC0007;IC0007;Galaxie;4.7215;10.5947;14.63;0.9;0.63;Psc;
IC0008;IC0008;Galaxie;4.7613;-3.2221;15.16;0.82;0.34;Psc;
IC0009;IC0009;Galaxie;4.9332;-14.1219;15.41;0.59;0.46;Cet;
IC0010;IC0010;Galaxie;5.0723;59.3038;10.35;6.76;6.03;Cas;
IC0012;IC0012;Galaxie;5.0627;-2.6531;15.08;0.96;0.32;Psc;
IC0013;IC0013;Galaxie;5.0837;7.7005;14.93;1.29;0.53;Psc;
IC0014;IC0014;Autre;5.6304;10.4902;;;;Psc;
IC0015;IC0015;Galaxie;6.99;-0.0613;15.9;0.44;0.38;Cet;
IC0016;IC0016;Galaxie;7.0319;-13.0939;15.15;0.58;0.32;Cet;
IC0017;IC0017;Galaxie;7.1241;2.6486;14.77;0.67;0.54;Cet;
IC0018;IC0018;Galaxie;7.1457;-11.5867;15.03;1.08;0.41;Cet;
IC0019;IC0019;Galaxie;7.1645;-11.6408;15.15;0.79;0.67;Cet;
IC0020;IC0020;Galaxie;7.1653;-13.0103;14.88;0.91;0.77;Cet;
IC0021;IC0021;Galaxie;7.2935;-0.1638;15.54;0.49;0.45;Cet;
IC0022;IC0022;Galaxie;7.3882;-9.0808;14.73;0.81;0.44;Cet;
IC0023;IC0023;Galaxie;7.7117;-12.7203;15.05;0.85;0.77;Cet;
IC0024;IC0024;Autre;7.8193;30.8393;;;;And;
IC0025;IC0025;Galaxie;7.8004;-0.4074;15.29;0.86;0.44;Cet;
IC0027;IC0027;Galaxie;8.276;-13.3715;15.82;0.58;0.34;Cet;
IC0028;IC0028;Galaxie;8.2863;-13.4563;15.56;0.3;0.22;Cet;
IC0029;IC0029;Galaxie;8.545;-2.1776;15.79;0.66;0.49;Cet;
IC0030;IC0030;Galaxie;8.5613;-2.0846;15.17;0.69;0.39;Cet;
IC0031;IC0031;Galaxie;8.6026;12.2682;15.62;1.16;0.23;Psc;
IC0032;IC0032;Galaxie;8.757;-2.1417;16.15;0.62;0.39;Cet;
IC0033;IC0033;Galaxie;8.7715;-2.1377;15.29;0.78;0.58;Cet;
IC0034;IC0034;Galaxie;8.9017;9.1242;13.77;2.81;1.05;Psc;
IC0035;IC0035;Galaxie;9.4162;10.358;14.96;0.9;0.74;Psc;
IC0036;IC0036;Galaxie;9.4569;-15.4413;15.54;0.31;0.3;Cet;
IC0037;IC0037;Galaxie;9.6424;-15.3587;16.23;0.67;0.38;Cet;
IC0038;IC0038;Galaxie;9.6615;-15.4198;15.02;0.77;0.57;Cet;
IC0040;IC0040;Galaxie;9.8392;2.4562;15.04;1.05;0.43;Cet;
IC0041;IC0041;Galaxie;9.9182;-14.1743;15.2;0.71;0.45;Cet;
IC0042;IC0042;Galaxie;10.2743;-15.4281;15.38;0.76;0.53;Cet;
IC0043;IC0043;Galaxie;10.5919;29.6416;13.25;1.26;1.15;And;
IC0045;IC0045;Autre;10.6514;29.6552;;;;And;
IC0046;IC0046;Galaxie;10.7415;27.2535;14.28;0.8;0.61;And;
IC0047;IC0047;Galaxie;10.7292;-13.7407;16.09;0.41;0.24;Cet;
IC0048;IC0048;Galaxie;10.8936;-8.1865;13.16;1.12;0.92;Cet;
IC0049;IC0049;Galaxie;10.9839;1.8503;13.78;1.28;1.04;Cet;
IC0050;IC0050;Galaxie;11.5238;-9.503;14.74;1.02;0.87;Cet;
IC0051;IC0051;Galaxie;11.6009;-13.4424;13.75;1.7;1.11;Cet;
IC0052;IC0052;Galaxie;12.0991;4.0919;15.31;0.95;0.41;Psc;
IC0053;IC0053;Galaxie;12.6699;10.6003;15.33;0.87;0.62;Psc;
IC0054;IC0054;Autre;12.6952;-2.2878;;;;Cet;
IC0055;IC0055;Galaxie;12.9266;7.7185;15.01;0.55;0.28;Psc;
IC0056;IC0056;Galaxie;12.8747;-12.8443;15.14;0.82;0.74;Cet;
IC0057;IC0057;Galaxie;13.7021;11.8412;15.48;1.03;0.96;Psc;
IC0058;IC0058;Galaxie;13.7602;-13.6781;15.51;0.84;0.5;Cet;
IC0059;IC0059;Nebuleuse;14.3692;61.1437;;10;5;Cas;
IC0060;IC0060;Galaxie;14.0176;-13.3579;15.75;1.04;0.76;Cet;
IC0061;IC0061;Galaxie;14.28;7.5071;15.23;1.34;1.29;Psc;
IC0062;IC0062;Galaxie;14.6831;11.808;14.97;0.76;0.46;Psc;
IC0063;IC0063;Nebuleuse;14.8702;60.9117;13.33;10;3;Cas;
IC0064;IC0064;Galaxie;14.8517;27.0591;13.96;1.03;0.65;Psc;
IC0065;IC0065;Galaxie;15.2309;47.682;13.6;2.56;0.73;And;
IC0066;IC0066;Galaxie;15.1354;30.7972;14.1;1.23;0.42;Psc;
IC0069;IC0069;Galaxie;15.3486;31.0408;14.65;0.76;0.41;Psc;
IC0070;IC0070;Galaxie;15.2665;0.0508;16.77;0.42;0.24;Cet;
IC0071;IC0071;Autre;15.3302;-6.7672;;;;Cet;
IC0072;IC0072;Autre;15.3946;-6.7779;;;;Cet;
IC0073;IC0073;Galaxie;16.2206;4.7671;15.38;0.62;0.48;Psc;
IC0074;IC0074;Galaxie;16.4831;4.0902;15.59;0.57;0.46;Psc;
IC0075;IC0075;Galaxie;16.7984;10.8369;14.98;0.66;0.51;Psc;
IC0076;IC0076;Galaxie;17.0488;-4.5545;15.44;0.81;0.36;Cet;
IC0077;IC0077;Galaxie;17.1823;-15.4209;15.04;0.52;0.44;Cet;
IC0078;IC0078;Galaxie;17.1988;-15.8451;15.24;1.75;0.75;Cet;
IC0079;IC0079;Galaxie;17.2071;-15.9486;14.93;1.24;0.91;Cet;
IC0080;IC0080;Galaxie;17.2121;-15.4075;;1.2;1.2;Cet;
IC0080 NED01;IC0080 NED01;Galaxie;17.2112;-15.4089;14.83;1.5;1.03;Cet;
IC0080 NED02;IC0080 NED02;Galaxie;17.213;-15.4063;12.9;1.5;1.06;Cet;
IC0081;IC0081;Galaxie;17.3427;-1.6959;14.53;1.17;0.91;Cet;
IC0082;IC0082;Galaxie;17.2741;-16.0003;14.85;0.91;0.83;Cet;
IC0083;IC0083;Galaxie;17.6241;1.6894;15.16;0.68;0.45;Cet;
IC0084;IC0084;Galaxie;17.8567;1.6402;15.21;0.67;0.43;Cet;
IC0085;IC0085;Autre;17.9565;-0.4525;;;;Cet;
IC0086;IC0086;Galaxie;18.3688;-16.2417;15.31;0.72;0.34;Cet;
IC0087;IC0087;Galaxie;18.5658;0.7653;15.37;0.69;0.63;Cet;
IC0088;IC0088;Galaxie;18.6304;0.7917;18.07;0.53;0.44;Cet;
IC0090;IC0090;Galaxie;19.1265;-7.9771;14.85;1.25;1.12;Cet;
IC0091;IC0091;Galaxie;19.6643;2.5537;16.48;0.71;0.26;Cet;
IC0093;IC0093;Galaxie;19.7598;-17.0604;13.57;1.21;0.56;Cet;
IC0094;IC0094;Autre;20.0229;32.7173;;;;Psc;
IC0095;IC0095;Galaxie;19.8245;-12.5741;16.2;0.61;0.5;Cet;
IC0096;IC0096;Galaxie;20.1384;29.6173;14.65;0.78;0.3;Psc;
IC0098;IC0098;Galaxie;20.2287;-12.6047;16.3;0.68;0.61;Cet;
IC0099;IC0099;Galaxie;20.614;-12.9526;15.82;0.58;0.52;Cet;
IC0100;IC0100;Galaxie;20.7248;-4.643;14.48;1.04;0.77;Cet;
IC0101;IC0101;Galaxie;21.0356;9.9305;15.03;1.24;0.59;Psc;
IC0102;IC0102;Galaxie;21.1097;9.8866;15.57;0.75;0.37;Psc;
IC0103;IC0103;Galaxie;21.1518;2.0442;15.36;0.95;0.67;Cet;
IC0104;IC0104;Autre;21.14;-1.4567;8.79;;;Cet;
IC0105;IC0105;Galaxie;21.1927;2.0753;15.59;0.58;0.29;Cet;
IC0107;IC0107;Galaxie;21.3528;14.8646;14.25;1.62;1.31;Psc;
IC0108;IC0108;Galaxie;21.1623;-12.6356;15.48;1.3;0.36;Cet;
IC0109;IC0109;Galaxie;21.3045;2.0662;14.87;0.76;0.57;Cet;
IC0110;IC0110;Autre;21.4442;33.5147;;;;Psc;
IC0111;IC0111;Autre;21.5005;33.4971;;;;Psc;
IC0112;IC0112;Galaxie;21.5126;11.443;14.17;0.72;0.37;Psc;
IC0113;IC0113;Galaxie;21.6062;19.192;;0.35;0.26;Psc;
IC0114;IC0114;Galaxie;21.5941;9.9099;15.62;1.4;0.56;Psc;
IC0115;IC0115;Galaxie;21.7268;19.2147;14.03;0.76;0.76;Psc;
IC0116;IC0116;Galaxie;21.7107;-4.9823;14.62;0.87;0.56;Cet;
IC0118;IC0118;Galaxie;21.9002;-4.9975;15.81;0.72;0.55;Cet;
IC0119;IC0119;Galaxie;21.9793;-2.0405;15.18;1.19;0.58;Cet;
IC0120;IC0120;Galaxie;22.054;-1.9155;15.12;0.92;0.33;Cet;
IC0121;IC0121;Galaxie;22.0908;2.513;14.25;1;0.62;Cet;
IC0122;IC0122;Galaxie;22.055;-14.8389;15.96;0.65;0.32;Cet;
IC0123;IC0123;Galaxie;22.2144;2.4464;15.16;0.67;0.47;Cet;
IC0124;IC0124;Autre;22.2878;-1.937;14.4;;;Cet;
IC0125;IC0125;Galaxie;22.3265;-13.2798;16.18;0.61;0.59;Cet;
IC0126;IC0126;Galaxie;22.4494;-1.9838;15.66;0.89;0.81;Cet;
IC0127;IC0127;Galaxie;22.4484;-6.9801;9.2;1.69;0.45;Cet;
IC0128;IC0128;Galaxie;22.8495;-12.6244;15.35;0.82;0.61;Cet;
IC0129;IC0129;Galaxie;22.8803;-12.6544;15.28;1.23;0.6;Cet;
IC0130;IC0130;Galaxie;22.8697;-15.5916;15.49;0.75;0.64;Cet;
IC0131;IC0131;Nebuleuse;23.3108;30.7533;12.52;0.3;0.3;Tri;
IC0132;IC0132;Nebuleuse;23.3163;30.9456;14.82;0.67;0.55;Tri;
IC0133;IC0133;Nebuleuse;23.3133;30.8884;18.45;0.45;0.45;Tri;
IC0134;IC0134;Autre;23.3542;30.9007;15.98;;;Tri;
IC0135;IC0135;Nebuleuse;23.5647;30.6201;;0.4;0.4;Tri;
IC0136;IC0136;Amas ouvert;23.5668;30.5621;11.04;;;Tri;
IC0137;IC0137;Amas ouvert;23.4121;30.5225;;;;Tri;
IC0138;IC0138;Galaxie;23.2583;-0.6898;14.72;1.12;0.74;Cet;
IC0139;IC0139;Amas ouvert;23.4968;30.5674;13.1;;;Tri;
IC0140;IC0140;Amas ouvert;23.4924;30.5501;;;;Tri;
IC0141;IC0141;Galaxie;23.2155;-14.8146;14.33;1.23;0.91;Cet;
IC0142;IC0142;Nebuleuse;23.4814;30.7578;14.2;0.5;0.5;Tri;
IC0143;IC0143;Nebuleuse;23.5455;30.7764;11.4;0.3;0.3;Tri;
IC0144;IC0144;Galaxie;24.4202;-13.3147;15.74;0.74;0.67;Cet;
