id;name;ra_deg;dec_deg;mag;const
alp_UMa;Dubhe;165.9320;61.7511;1.79;UMa
bet_UMa;Merak;165.4603;56.3824;2.37;UMa
gam_UMa;Phecda;178.4577;53.6948;2.44;UMa
del_UMa;Megrez;183.8565;57.0326;3.31;UMa
eps_UMa;Alioth;193.5073;55.9598;1.77;UMa
zet_UMa;Mizar;200.9814;54.9254;2.27;UMa
eta_UMa;Alkaid;206.8852;49.3133;1.86;UMa
omi_UMa;Muscida;127.5661;60.7181;3.36;UMa
the_UMa;;143.2144;51.6773;3.17;UMa
iot_UMa;Talitha;134.8019;48.0418;3.14;UMa
alp_UMi;Polaris;37.9546;89.2641;1.98;UMi
bet_UMi;Kochab;222.6764;74.1555;2.08;UMi
gam_UMi;Pherkad;230.1822;71.8340;3.05;UMi
del_UMi;Yildun;263.0541;86.5865;4.36;UMi
eps_UMi;;251.4893;82.0373;4.21;UMi
zet_UMi;;236.0145;77.7944;4.32;UMi
eta_UMi;;244.3781;75.7551;4.95;UMi
alp_Cas;Schedar;10.1268;56.5373;2.24;Cas
bet_Cas;Caph;2.2945;59.1498;2.27;Cas
gam_Cas;;14.1772;60.7167;2.47;Cas
del_Cas;Ruchbah;21.4538;60.2353;2.68;Cas
eps_Cas;Segin;28.5988;63.6701;3.38;Cas
zet_Cas;;12.2767;53.8968;3.66;Cas
eta_Cas;Achird;12.2760;57.8156;3.44;Cas
alp_Cep;Alderamin;319.6449;62.5856;2.45;Cep
bet_Cep;Alfirk;322.1650;70.5607;3.23;Cep
gam_Cep;Errai;354.8367;77.6323;3.21;Cep
del_Cep;;337.2929;58.4152;4.07;Cep
zet_Cep;;332.7140;58.2012;3.35;Cep
eta_Cep;;311.3220;61.8387;3.43;Cep
iot_Cep;;342.4201;66.2007;3.52;Cep
alp_Dra;Thuban;211.0973;64.3758;3.65;Dra
bet_Dra;Rastaban;262.6081;52.3014;2.79;Dra
gam_Dra;Eltanin;269.1515;51.4889;2.23;Dra
del_Dra;Altais;288.1387;67.6614;3.07;Dra
eps_Dra;;297.0426;70.2679;3.83;Dra
zet_Dra;Aldhibah;268.3821;65.7147;3.17;Dra
eta_Dra;Athebyne;245.9980;61.5141;2.73;Dra
iot_Dra;Edasich;231.2323;58.9660;3.29;Dra
xi__Dra;Grumium;268.6288;56.8726;3.75;Dra
chi_Dra;;275.2635;72.7328;3.57;Dra
lam_Dra;Giausar;172.8510;69.3312;3.84;Dra
alp_Cyg;Deneb;310.3580;45.2803;1.25;Cyg
bet_Cyg;Albireo;292.6804;27.9597;3.08;Cyg
gam_Cyg;Sadr;305.5571;40.2567;2.23;Cyg
del_Cyg;Fawaris;296.2437;45.1308;2.87;Cyg
eps_Cyg;Aljanah;311.5527;33.9703;2.48;Cyg
alp_Lyr;Vega;279.2347;38.7837;0.03;Lyr
bet_Lyr;Sheliak;282.5200;33.3627;3.52;Lyr
gam_Lyr;Sulafat;284.7359;32.6896;3.24;Lyr
del_Lyr;;283.6262;36.8985;4.30;Lyr
zet_Lyr;;281.1935;37.6051;4.34;Lyr
alp_Aql;Altair;297.6958;8.8683;0.76;Aql
bet_Aql;Alshain;298.8283;6.4068;3.71;Aql
gam_Aql;Tarazed;296.5649;10.6133;2.72;Aql
del_Aql;;286.5625;3.1147;3.36;Aql
zet_Aql;Okab;286.3525;13.8635;2.99;Aql
eps_Aql;;284.0555;15.0685;4.02;Aql
eta_Aql;;298.1182;1.0057;3.90;Aql
the_Aql;;302.8261;-0.8215;3.23;Aql
lam_Aql;Althalimain;286.5625;-4.8825;3.43;Aql
alp_Boo;Arcturus;213.9153;19.1824;-0.05;Boo
bet_Boo;Nekkar;225.4868;40.3903;3.49;Boo
gam_Boo;Seginus;218.0195;38.3082;3.03;Boo
del_Boo;;227.8757;33.3149;3.47;Boo
eps_Boo;Izar;221.2467;27.0743;2.37;Boo
zet_Boo;;219.9211;13.7281;3.78;Boo
eta_Boo;Muphrid;208.6714;18.3976;2.68;Boo
rho_Boo;;218.0187;30.3714;3.58;Boo
alp_CrB;Alphecca;233.6720;26.7147;2.22;CrB
bet_CrB;Nusakan;231.9573;29.1057;3.66;CrB
gam_CrB;;235.0757;26.2953;3.81;CrB
del_CrB;;236.4694;26.0682;4.59;CrB
eps_CrB;;237.8043;26.8776;4.14;CrB
the_CrB;;233.1167;31.3592;4.14;CrB
iot_CrB;;238.7859;29.8512;4.98;CrB
alp_Her;Rasalgethi;258.6620;14.3903;3.35;Her
bet_Her;Kornephoros;247.5549;21.4896;2.77;Her
gam_Her;;245.4803;19.1531;3.75;Her
del_Her;Sarin;258.7580;24.8393;3.12;Her
eps_Her;;260.9207;30.9263;3.92;Her
zet_Her;;250.3229;31.6026;2.81;Her
eta_Her;;250.7242;38.9223;3.53;Her
the_Her;;269.0634;37.2506;3.86;Her
iot_Her;;262.6847;46.0064;3.80;Her
pi__Her;;258.7580;36.8092;3.16;Her
rho_Her;;261.2928;37.1464;4.17;Her
xi__Her;;271.8852;29.2477;3.70;Her
alp_Per;Mirfak;51.0807;49.8612;1.79;Per
bet_Per;Algol;47.0422;40.9556;2.12;Per
gam_Per;;46.1993;53.5062;2.93;Per
del_Per;;55.7312;47.7876;3.01;Per
eps_Per;;59.4633;40.0102;2.89;Per
zet_Per;Atik;58.5330;31.8836;2.85;Per
eta_Per;Miram;42.6741;55.8953;3.76;Per
rho_Per;Gorgonea;46.2938;38.8404;3.39;Per
xi__Per;Menkib;59.7412;35.7910;4.04;Per
alp_Aur;Capella;79.1723;45.9980;0.08;Aur
bet_Aur;Menkalinan;89.8822;44.9474;1.90;Aur
the_Aur;Mahasim;89.9302;37.2126;2.62;Aur
iot_Aur;Hassaleh;74.2484;33.1661;2.69;Aur
eps_Aur;Almaaz;75.4922;43.8233;3.03;Aur
eta_Aur;Hoedus II;76.6288;41.2346;3.17;Aur
zet_Aur;Hoedus I;75.6195;41.0758;3.75;Aur
alp_Tau;Aldebaran;68.9802;16.5093;0.87;Tau
bet_Tau;Elnath;81.5730;28.6075;1.65;Tau
gam_Tau;Prima Hyadum;64.9484;15.6276;3.65;Tau
del_Tau;;65.7338;17.5425;3.76;Tau
eps_Tau;Ain;67.1543;19.1804;3.53;Tau
zet_Tau;Tianguan;84.4112;21.1425;3.00;Tau
lam_Tau;;60.1700;12.4903;3.47;Tau
the_Tau;;66.0075;15.8708;3.40;Tau
eta_Tau;Alcyone;56.8711;24.1051;2.87;Tau
alp_Ori;Betelgeuse;88.7929;7.4071;0.50;Ori
bet_Ori;Rigel;78.6345;-8.2016;0.13;Ori
gam_Ori;Bellatrix;81.2828;6.3497;1.64;Ori
del_Ori;Mintaka;83.0016;-0.2991;2.23;Ori
eps_Ori;Alnilam;84.0534;-1.2019;1.69;Ori
zet_Ori;Alnitak;85.1897;-1.9426;1.77;Ori
kap_Ori;Saiph;86.9391;-9.6696;2.06;Ori
lam_Ori;Meissa;83.7845;9.9342;3.39;Ori
iot_Ori;Hatysa;83.8583;-5.9099;2.77;Ori
eta_Ori;;81.1190;-2.3972;3.36;Ori
pi3_Ori;Tabit;72.4600;6.9611;3.19;Ori
alp_Gem;Castor;113.6495;31.8883;1.58;Gem
bet_Gem;Pollux;116.3289;28.0262;1.14;Gem
gam_Gem;Alhena;99.4276;16.3993;1.92;Gem
del_Gem;Wasat;110.0308;21.9823;3.53;Gem
eps_Gem;Mebsuta;100.9831;25.1311;3.06;Gem
zet_Gem;Mekbuda;106.0271;20.5703;3.79;Gem
eta_Gem;Propus;93.7194;22.5067;3.28;Gem
mu__Gem;Tejat;95.7401;22.5136;2.87;Gem
xi__Gem;Alzirr;101.3222;12.8956;3.36;Gem
lam_Gem;;109.5231;16.5404;3.58;Gem
alp_CMa;Sirius;101.2872;-16.7161;-1.46;CMa
bet_CMa;Mirzam;95.6749;-17.9559;1.98;CMa
gam_CMa;Muliphein;105.9396;-15.6333;4.11;CMa
del_CMa;Wezen;107.0980;-26.3932;1.84;CMa
eps_CMa;Adhara;104.6565;-28.9721;1.50;CMa
zet_CMa;Furud;95.0785;-30.0634;3.02;CMa
eta_CMa;Aludra;111.0238;-29.3031;2.45;CMa
om2_CMa;;104.0343;-23.8333;3.02;CMa
alp_CMi;Procyon;114.8255;5.2250;0.34;CMi
bet_CMi;Gomeisa;111.7877;8.2893;2.89;CMi
alp_Leo;Regulus;152.0930;11.9672;1.36;Leo
bet_Leo;Denebola;177.2649;14.5721;2.14;Leo
gam_Leo;Algieba;154.9931;19.8415;2.08;Leo
del_Leo;Zosma;168.5271;20.5237;2.56;Leo
eps_Leo;Algenubi;146.4628;23.7742;2.98;Leo
zet_Leo;Adhafera;154.1725;23.4173;3.44;Leo
eta_Leo;;151.8332;16.7626;3.51;Leo
the_Leo;Chertan;168.5600;15.4298;3.33;Leo
mu__Leo;Rasalas;148.1912;26.0069;3.88;Leo
alp_Vir;Spica;201.2983;-11.1613;0.98;Vir
bet_Vir;Zavijava;177.6739;1.7647;3.59;Vir
gam_Vir;Porrima;190.4152;-1.4494;2.74;Vir
del_Vir;Auva;193.9008;3.3975;3.38;Vir
eps_Vir;Vindemiatrix;195.5442;10.9592;2.83;Vir
zet_Vir;Heze;203.6734;-0.5959;3.37;Vir
eta_Vir;Zaniah;184.9765;-0.6668;3.89;Vir
alp_Sco;Antares;247.3519;-26.4320;1.06;Sco
bet_Sco;Acrab;241.3593;-19.8054;2.62;Sco
del_Sco;Dschubba;240.0833;-22.6217;2.29;Sco
pi__Sco;Fang;239.7129;-26.1140;2.89;Sco
sig_Sco;Alniyat;245.2970;-25.5928;2.89;Sco
tau_Sco;Paikauhale;248.9705;-28.2160;2.82;Sco
eps_Sco;Larawag;252.5410;-34.2933;2.29;Sco
mu__Sco;Xamidimura;253.0839;-38.0475;3.00;Sco
zet_Sco;;253.6461;-42.3611;3.62;Sco
eta_Sco;;258.0380;-43.2392;3.33;Sco
the_Sco;Sargas;264.3297;-42.9978;1.87;Sco
iot_Sco;;266.8962;-40.1270;3.03;Sco
kap_Sco;Girtab;265.6220;-39.0299;2.41;Sco
lam_Sco;Shaula;263.4022;-37.1038;1.62;Sco
ups_Sco;Lesath;262.6910;-37.2958;2.69;Sco
alp_Sgr;Rukbat;287.4407;-40.6161;3.97;Sgr
bet_Sgr;Arkab;285.6530;-44.4590;3.96;Sgr
gam_Sgr;Alnasl;271.4522;-30.4241;2.98;Sgr
del_Sgr;Kaus Media;275.2485;-29.8281;2.70;Sgr
eps_Sgr;Kaus Australis;276.0430;-34.3846;1.85;Sgr
zet_Sgr;Ascella;285.6530;-29.8803;2.60;Sgr
eta_Sgr;;278.3757;-36.7617;3.11;Sgr
lam_Sgr;Kaus Borealis;276.9930;-25.4217;2.81;Sgr
sig_Sgr;Nunki;283.8164;-26.2967;2.05;Sgr
tau_Sgr;;286.1727;-27.6702;3.32;Sgr
phi_Sgr;;281.4140;-26.9906;3.17;Sgr
pi__Sgr;Albaldah;287.3708;-21.0236;2.89;Sgr
alp_And;Alpheratz;2.0970;29.0904;2.06;And
